源文件名,中文字符串,Chinese string
\KFCK\AppSettingsBuilder.cs,"绑定配置{property.Name}失败，已使用默认值 “{SerializeObject(property.GetValue(obj), property.PropertyType.IsArray)}” 替代，原因是","Binding configuration {property.Name} failed, default value ""{SerializeObject(property.GetValue(obj), property.PropertyType.IsArray)}"" was used instead, because"
\KFCK\AppSettingsBuilder.cs,迁移配置 {item.SettingKey} 对应的值 “{value}” 失败，将保持原值，原因是,"Migration configuration of the value ""{value}"" corresponding to {item.SettingKey} failed and the original value will be retained because"
\KFCK\AppSettingsBuilder.cs,迁移配置 {item.SettingKey} 对应的值 “{value}” 失败，将保持原值，原因是,"Migration configuration of the value ""{value}"" corresponding to {item.SettingKey} failed and the original value will be retained because"
\KFCK\BasisSettings.cs,界面显示参数,Interface display parameters
\KFCK\BasisSettings.cs,"软件默认退出到的角色，也是软件在未登录用户时的默认的用户角色，请从以下角色中选择：
    None 匿名
    Operator 操作员
    TeamLeader 班组长
    Engineer 工程师
    Admin 管理员","The default role that the software exits to. It is also the default user role when the software is not logged in. Please select from the following roles: 
   None 
    Operator 
    TeamLeader 
    Engineer 
    Admin "
\KFCK\BasisSettings.cs,界面显示参数,Interface display parameters
\KFCK\BasisSettings.cs,自动登出默认超时时间，单位：秒。,"The default timeout for automatic logout, in seconds."
\KFCK\BasisSettings.cs,基本参数,Basic parameters
\KFCK\BasisSettings.cs,维护管理员密码（加密后）,Maintenance administrator password (encrypted)
\KFCK\BasisSettings.cs,界面显示参数,Interface display parameters
\KFCK\BasisSettings.cs,是否允许用户通过密码登录，是：True，否：False。,"Whether to allow users to log in with a password, yes: True, no: False."
\KFCK\BasisSettings.cs,基本参数,Basic parameters
\KFCK\BasisSettings.cs,软件数据文件输出默认文字编码，整型。如：936代表简体中文，65001代表utf-8。,"The default text encoding for software data file output is integer. For example, 936 represents simplified Chinese, and 65001 represents utf-8."
\KFCK\BasisSettings.cs,软件功能,Software Features
\KFCK\BasisSettings.cs,每种类型的文件最多可以保存多少个。,The maximum number of files of each type that can be saved.
\KFCK\BasisSettings.cs,软件诊断,Software Diagnostics
\KFCK\BasisSettings.cs,汇总日志记录天数，单位：天，正整数。,"The number of days to record the summary logs. The unit is day, which is a positive integer."
\KFCK\BasisSettings.cs,软件诊断,Software Diagnostics
\KFCK\BasisSettings.cs,操作日志记录月数，单位：月，正整数。,"Number of months for operation log recording, unit: month, positive integer."
\KFCK\BasisSettings.cs,软件诊断,Software Diagnostics
\KFCK\BasisSettings.cs,关键参数修改日志记录月数，单位：月，正整数。,"Number of months for recording key parameter modification logs, unit: month, positive integer."
\KFCK\BasisSettings.cs,软件诊断,Software Diagnostics
\KFCK\BasisSettings.cs,是否允许软件在崩溃或满足某些条件时创建dump文件，是：True，否：False。,"Whether to allow the software to create a dump file when it crashes or meets certain conditions, yes: True, no: False."
\KFCK\BasisSettings.cs,软件功能,Software Features
\KFCK\BasisSettings.cs,默认自动重连时间配置，除专门给出配置外的所有自动重连策略均为此策略，单位：秒。假设配置为“5 10 20 30 45 60”，那么代表第一次重连间隔时间为5秒，第二次重连间隔时间为10秒，依次类推，从第六次起间隔时间均为60秒。,"The default automatic reconnection time configuration is used by all automatic reconnection strategies except for those specifically configured. The unit is seconds. Assuming the configuration is ""5 10 20 30 45 60"", it means that the first reconnection interval is 5 seconds, the second reconnection interval is 10 seconds, and so on. From the sixth reconnection onwards, the interval is 60 seconds."
\KFCK\CommonShell.cs,!v! 软件因 {reason} 崩溃 !v!,!v! The software crashed due to {reason} !v!
\KFCK\CommonShell.cs,!v! 软件因 {reason} 崩溃<异常对象为空> !v!,!v! The software crashed due to {reason} <Exception object is empty> !v!
\KFCK\CommonShell.cs,!v! 软件因 {reason} 崩溃<未知类型的异常:{exception}> !v!,!v! The software crashed due to {reason} <unknown type of exception: {exception}> !v!
\KFCK\CommonShell.cs,未处理的异常,Unhandled Exception
\KFCK\CommonShell.cs,配置文件加载预警：,Configuration file loading warning:
\KFCK\CommonShell.cs,创建Dump文件失败。,Failed to create the dump file.
\KFCK\CommonShell.cs,开始紧急保存用户数据。,Start emergency saving of user data.
\KFCK\CommonShell.cs,用户数据紧急保存完毕。,User data has been urgently saved.
\KFCK\CommonShell.cs,十分抱歉，产生了未能预料的错误，应用必须终止！请联系我们的技术支持部门以获取帮助，给您造成了不便，敬请谅解！\n我们已紧急保存了您的用户数据！,"We are very sorry, an unexpected error occurred and the application must be terminated! Please contact our technical support department for help. We apologize for the inconvenience! \nWe have urgently saved your user data!"
\KFCK\CommonShell.cs,用户数据紧急保存失败。,Emergency saving of user data failed.
\KFCK\CommonShell.cs,十分抱歉，产生了未能预料的错误，应用必须终止！请联系我们的技术支持部门以获取帮助，给您造成了不便，敬请谅解！\n抱歉，我们未能紧急保存您的用户数据！,"We are very sorry, an unexpected error has occurred and the application must be terminated! Please contact our technical support department for assistance. We apologize for the inconvenience! \nSorry, we were unable to save your user data urgently!"
\KFCK\MyEnumExtensions.cs,该类型对象不是可自由组合元素的标志型枚举！,This type object is not a flag enumeration with freely combinable elements!
